"Nome";"categoria";"descrizione";"Metodiche di lavorazione conservazione e stagionatura";"materiali e attrezzature per la preparazione";"Locali di lavorazione conservazione e stagionatura";"territorio interessato"
"TARTUFO BIANCO PREGIATO (tuber magnatum pico)";"PRODOTTI VEGETALI ALLO STATO NATURALE O TRASFORMATI";"Ha peridio o scorza non verrucosa ma liscia, di colore giallo chiaro o verdicchio, e gleba o polpa dal marrone al nocciola più o meno tenue, talvolta sfumata di rosso vivo, con venature chiare fini e numerose. Emana un forte profumo gradevole.";"La lavorazione prevede una prima fase di cernita e di lavaggio. La cernita permette di selezionare i tartufi in base alla specie, alla pezzatura, allo stadio di maturazione ecc. essa viene eseguita a mano da personale esperto. Il lavaggio permette di eliminare tutte le particelle terrose ed estranee presenti sulla superficie del carpoforo e avviene mediante lavatrice per tartufi. Dopo la cernita ed il lavaggio, i tartufi vengono separati nelle seguenti categorie: Tartufi super extra, tartufi di prima scelta, tartufi di seconda scelta, pezzi di tartufo, tritume di tartufo. Le diverse frazioni ottenute, possono essere utilizzati mediante l’uso del freddo o del caldo. - Utilizzazione mediante la linea del freddo: con questa linea i tartufi delle categorie superiori, possono essere conservati in sotto vuoto e quindi congelati rapidamente mediante l’abbattitore della temperatura. - Utilizzazione mediante la linea del caldo: con questa linea vengono conservate tutte le categorie di tartufo e tutti i preparati quali, salse, creme, patè ecc. Il prodotto viene posto in vasi di adeguate dimensioni che vengono tappati e immessi in autoclave per la sterilizzazione. La sterilizzazione si ottiene alla temperatura 120°-130°C per 30 minuti. Per la preparazione delle creme viene utilizzato il cutter che consente di omogeneizzare il preparato.La lavorazione prevede una prima fase di cernita e di lavaggio. La cernita permette di selezionare i";"Frigoriferi, bilance, vasche di lavaggio, lavatrici per tartufi, centrifuga per asciugare i tartufi, tritacarne per patè, bollitore provvisto di rimescolamento automatico, dosatrice, macchina tappatrice, autoclave, macchina per il confezionamento sotto vuoto, abbattitore della temperatura, cella di congelamento, etichettatrice";"La lavorazione prevede una prima fase di cernita e di lavaggio. La cernita permette di selezionare i tartufi in base alla specie, alla pezzatura, allo stadio di maturazione ecc. essa viene eseguita a mano da personale esperto. Il lavaggio permette di eliminare tutte le particelle terrose ed estranee presenti sulla superficie del carpoforo e avviene mediante lavatrice per tartufi. Dopo la cernita ed il lavaggio, i tartufi vengono separati nelle seguenti categorie: Tartufi super extra, tartufi di prima scelta, tartufi di seconda scelta, pezzi di tartufo, tritume di tartufo. Le diverse frazioni ottenute, possono essere utilizzati mediante l’uso del freddo o del caldo. - Utilizzazione mediante la linea del freddo: con questa linea i tartufi delle categorie superiori, possono essere conservati in sotto vuoto e quindi congelati rapidamente mediante l’abbattitore della temperatura. - Utilizzazione mediante la linea del caldo: con questa linea vengono conservate tutte le categorie di tartufo e tutti i preparati quali, salse, creme, patè ecc. Il prodotto viene posto in vasi di adeguate dimensioni che vengono tappati e immessi in autoclave per la sterilizzazione. La sterilizzazione si ottiene alla temperatura 120°-130°C per 30 minuti. Per la preparazione delle creme viene utilizzato il cutter che consente di omogeneizzare il preparato.";"Comuni di Città di Castello, Umbertide, Pietralunga, Montone, Monte S. Maria Tiberina, Citerna, S. Giustino, Gubbio, Scheggia, Pascelupo, Costacciaro, Sigillo, Fossato di Vico, Gualdo Tadino, Valfabbrica, Orvieto, Porano, Montecchio, Baschi, Castel Giorgio, Castel Viscardo, Allerona, Ficulle, Parrano, Montegabbione, Monteleone d’Orvieto, Fabro."
"TARTUFO NERO PREGIATO. (Tuber melanosporum Vittad)";"PRODOTTI VEGETALI ALLO STATO NATURALE O TRASFORMATI";"Ha peridio o scorza nera rugosa con verruche minute, poligonali, e gleba o polpa neroviolacea a maturazione, con venature bianche fini. Emana un delicato profumo molto gradevole";"La lavorazione prevede una prima fase di cernita e di lavaggio. La cernita permette di selezionare i tartufi in base alla specie, alla pezzatura, allo stadio di maturazione ecc. essa viene eseguita a mano da personale esperto. Il lavaggio permette di eliminare tutte le particelle terrose ed estranee presenti sulla superficie del carpoforo e avviene mediante lavatrice per tartufi. Dopo la cernita ed il lavaggio, i tartufi vengono separati nelle seguenti categorie: Tartufi super extra, tartufi di prima scelta, tartufi di seconda scelta, pezzi di tartufo, tritume di tartufo. Le diverse frazioni ottenute, possono essere utilizzati mediante l’uso del freddo o del caldo. - Utilizzazione mediante la linea del freddo: Con questa linea i tartufi delle categorie superiori, possono essere conservati in sotto vuoto e quindi congelati rapidamente mediante l’abbattitore della temperatura. - Utilizzazione mediante la linea del caldo: Con questa linea vengono conservate tutte le categorie di tartufo e tutti i preparati quali, salse, creme, patè ecc. Il prodotto viene posto in vasi di adeguate dimensioni che vengono tappati e immessi in autoclave per la sterilizzazione. La sterilizzazione si ottiene alla temperatura 120 -130 °C per 30 minuti. Per la preparazione delle creme viene utilizzato il cutter che consente di omogeneizzare il preparato.";"Frigoriferi, bilance, vasche di lavaggio, lavatrici per tartufi, centrifuga per asciugare i tartufi, tritacarne per patè, bollitore provvisto di rimescolamento automatico, dosatrice, macchina tappatrice, autoclave, macchina per il confezionamento sotto vuoto, abbattitore della temperatura, cella di congelamento, etichettatrice.";"Frigoriferi, bilance, vasche di lavaggio, lavatrici per tartufi, centrifuga per asciugare i tartufi, tritacarne per patè, bollitore provvisto di rimescolamento automatico, dosatrice, macchina tappatrice, autoclave, macchina per il confezionamento sotto vuoto, abbattitore della temperatura, cella di congelamento, etichettatrice.";"Norcia, Cascia, Preci, Monteleone di Spoleto, Poggiodomo, Scheggino, Sant’Anatolia di Narco, Vallo di Nera, Cerreto di Spoleto, Sellano, Spoleto, Campello sul Clitunno, Castel Ritaldi, Giano dell’Umbria e Stroncone"
"TINCA DEL TRASIMENO (Tinca tinca)";"PREPARAZIONI DI PESCI, MOLLUSCHI E CROSTACEI";"Corpo massiccio e tozzo, bocca piccola provvista di due barbigli corti, squame minute ricoperte di muco. Il dorso è bruno/verde scuro, i fianchi bruno/verdastri con riflessi aurei, il ventre è giallastro. Presenta pinne impari nere o violacee. La lunghezza media è di circa 25 cm, la massima di circa 40 cm. Il peso medio è di 200-400 gr. (massimo 2 Kg.). le carni sono buone, mediamente grasse, tenere e saporite.";"Stagione adatta alla pesca: primavera ed autunno. Tecniche di pesca: reti in nylon e tofi.";"E’ consuetudine mantenere esemplari vivi in vasche di vetroresina idonee all’uso.";"Locali, materiali ed attrezzature per la manipolazione e conservazione dell’alimento possiedono i requisiti previsti dalle seguenti norme: L. 283/62, DPR 327/80, D. Lgs 155/97. . Il congelamento avviene con tunnel ventilato di piccole capacità, limitatamente al pescato proveniente dalle acque del Lago Trasimeno. Questa soluzione tecnologica è l’unica che, al momento, permette di ottenere una riserva di alimento per soddisfare i fabbisogni del mercato locale con turn-over del prodotto di circa due-tre mesi e, comunque, l’unica adatta ai quantitativi medi disponibili. La lavorazione avviene presso laboratori artigianali autorizzati ai sensi della L. 283/62 seguendo le seguenti fasi: decapitazione, eviscerazione, spellatura, sfilettatura, congelamento e stoccaggio. Attualmente esemplari con peso tra i 500 ed i 600 gr., quando vengono pescati in certi quantitativi, vengono spediti presso un impianto autorizzato ai sensi del D. Lvo 531/92 dove vengono affumicati e congelati per poi essere ritirati dalle cooperative del Lago Trasimeno ai fini della commercializzazione sul mercato locale.";"Lago Trasimeno"
"TORCIGLIONE";"PASTE FRESCHE E PRODOTTI DELLA PANETTERIA, BISCOTTERIA, PASTICCERIA, CONFETTERIA";"Dolce secco a base di mandorle, a forma di spirale che ricorda un serpente attorcigliato";"Ingredienti: mandorle dolci tostate e tritate e zucchero in parti uguali, albumi d’uovo montati a neve; per la decorazione: mandorle intere oppure pinoli, cedro candito, chicchi di caffè. Lavorazione: gli ingredienti (eccetto i pinoli) vengono lavorati a mano in un contenitore fino ad ottenere un composto morbido ed omogeneo. Si lavora a mano l’impasto formando un serpente attorcigliato (torciglione) decorandolo con canditi (orecchie), pinoli o mandorle calibrate a piacere sul dorso (oppure praticando delle incisioni sul dorso a forma di squame), chicchi di caffè (occhi). Il torciglione viene sistemato su teglie da forno (anche ricoperte di carta da forno) e cotto in forno a 180°C per circa 20-30 minuti. Conservazione: il prodotto fresco va conservato in luogo fresco e asciutto e consumato entro 2 o 3 giorni.";"Contenitori in plastica per alimenti o in acciaio inox; - piano di acciaio inox; - teglie da forno; - forno.";"Laboratorio di pasticceria; - negozio di vendita con bancone espositore.";"Provincia di Perugia"
"TORCOLO DI SAN COSTANZO";"PASTE FRESCHE E PRODOTTI DELLA PANETTERIA, BISCOTTERIA, PASTICCERIA, CONFETTERIA";"Classica forma a ciambella: incisione pentagonale della pasta (a indicare, secondo la tradizione, le cinque porte di Perugia).";"Ingredienti: (dalla ricetta dell’Accademia Italiana della Cucina di Perugia): farina di grano tenero, acqua, lievito (la ricetta originale prevede l’utilizzo del “lievito acido”, un lievito naturale ottenuto dalla fermentazione di farina e acqua; tuttavia, la ricetta consente l’utilizzo o l’aggiunta di lievito di birra), olio extra vergine di oliva, zucchero, uva passa, vero candito di buon cedro candito (colore verde, sapore adeguato), pinoli, semi di anice. Lavorazione: si impastano farina, acqua e lievito; lievitazione dell’impasto, detto “biga”, a temperatura media e costante per circa 3-4 ore, in contenitori di plastica coperti; quando l’impasto ha raddoppiato il suo volume, si aggiungono: zucchero, uva passa, cedro candito a cubetti, pinoli, anice e olio extra vergine di oliva; si lavora ancora l’impasto fino a renderlo omogeneo e, si formano delle ciambelle praticando su ognuna di esse cinque incisioni diagonali, che rappresentano le cinque porte di Perugia. Le ciambelle vengono poi collocate su teglie da forno e infornate per circa 30 minuti. Conservazione: il prodotto fresco va conservato ad una temperatura di circa 6°/8° C per 2/3 giorni al massimo.";"Impastatrice; - contenitori di plastica per alimenti con copertura (per la lievitazione); - teglie da forno; - forno.";"Laboratorio di pasticceria; - negozio di vendita con bancone espositore";"Comune di Perugia."
"TORTA AL TESTO";"PASTE FRESCHE E PRODOTTI DELLA PANETTERIA, BISCOTTERIA, PASTICCERIA, CONFETTERIA";"-";"Ingredienti: farina di grano tenero, acqua, sale, lievito chimico. Varianti: aggiunta agli ingredienti sopracitati di: olio di semi o d’oliva, parmigiano e/o pecorino, uova, bicarbonato. Lavorazione: gli ingredienti vengono lavorati a mano fino ad ottenere un impasto morbido ed omogeneo, il quale viene poi spianato con il rasagnolo di legno su piano di legno formando delle torte basse, rotonde e bucherellate con una forchetta. La cottura viene effettuata sul testo, o panaro, precedentemente riscaldato a contatto di fonti di calore. La torta va girata sul testo più volte fino a cottura. Conservazione: il prodotto va conservato in luogo fresco e asciutto e consumato preferibilmente in giornata.";"Rasagnolo in legno; - spianatoia in legno o piano di marmo; - testo (panaro) di cemento e terra refrattaria (oppure anche con aggiunta di polvere di marmo e ghiaia) e/o con telaio di materiale metallico. Il testo ha uno spessore di circa 3 cm., è rotondo e viene scaldato a contatto di fonti di calore (camino, fiamma del gas, forno,); Fonti di calore per la cottura: fuochi a gas, forno, camino";"Laboratorio di panificazione; - negozio di vendita con bancone espositore.";"Provincia di Perugia"
"TORTA AL FORMAGGIO O DI PASQUA";"PASTE FRESCHE E PRODOTTI DELLA PANETTERIA, BISCOTTERIA, PASTICCERIA, CONFETTERIA";"Torta rotonda e alta";"Ingredienti: farina tipo “0”, uova, formaggio pecorino, pecorino romano, grana padano o parmigiano reggiano, olio extra vergine di oliva, strutto, sale, pepe, lievito naturale (mantenuto in frigo a temperatura di 10°C) e lievito di birra, latte. Lavorazione: gli ingredienti vengono lavorati nell’impastatrice. Il composto ottenuto viene sistemato in stampi da forno ben unti, riempito fino a meno della metà. Si lascia lievitare in luogo umido fino a che la pasta non sfiora il bordo dello stampo (“deve lievitare tre volte, cioè aumentare il suo volume per tre volte” (1)). Si cuociono in forno a temperatura media. Conservazione: il prodotto va conservato in luogo fresco e asciutto e consumato entro qualche giorno.";"Impastatrice;                     stampi da forno  forno.";"Laboratorio di panificazione; - negozio di vendita con bancone espositore.";"Regione Umbria"
"TOZZETTI";"PASTE FRESCHE E PRODOTTI DELLA PANETTERIA, BISCOTTERIA, PASTICCERIA, CONFETTERIA";"Pasticcini secchi alle mandorle";"Ingredienti: mandorle, zucchero, uova, margarina, farina, vinsanto, lievito chimico. Lavorazione: gli ingredienti vengono lavorati a mano o nell’impastatrice fino ad ottenere un composto morbido ed omogeneo. Si formano a mano delle strisce larghe circa 7/8 cm. che vengono sistemate su teglie da forno. Si cuociono in forno per circa 10/15 minuti; si tolgono le strisce dal forno, si tagliano a mano in senso obliquo formando dei biscotti stretti e lunghi, si rimettono in forno per circa 10/15 minuti. Conservazione: il prodotto va conservato in luogo fresco e asciutto e consumato entro qualche giorno";"Impastatrice;  teglie da forno;  forno.";"Laboratorio di pasticceria; - negozio di vendita con bancone espositore";"Regione Umbria"
"UMBRICELLI";"PASTE FRESCHE E PRODOTTI DELLA PANETTERIA, BISCOTTERIA, PASTICCERIA, CONFETTERIA";"Grossi spaghetti fatti a mano con farina e acqua";"Ingredienti: farina di grano tenero, acqua. Varianti: può anche essere usata solo semola di grano duro oppure farina di tipo “0” e semola di grano duro in proporzioni rispettivamente di 2/3 e 1/3. Lavorazione a mano: gli ingredienti vengono lavorati a mano su spianatoia di legno; una volta ottenuto un impasto omogeneo, con il rasagnolo viene tirata la sfoglia dello spessore di circa 5/8 mm.; si tagliano in orizzontale delle strisce di pasta (larghe circa 10 cm.), a loro volta tagliate in piccole striscette (larghe circa 1 cm.), le quali vengono tirate a mano sulla spianatoia fino a formare degli spaghetti lunghi circa 25/30 cm.. Lavorazione a macchina: gli ingredienti vengono lavorati nell’impastatrice, dalla quale vengono direttamente estrusi dei lunghi spaghetti cilindrici, appunto gli umbricelli. Conservazione: essendo un prodotto fresco, va conservato per 1/2 giorni al massimo, a temperatura di circa 4°C, su vassoi per alimenti.";"Impastatrice (se lavorato a macchina); - spianatoia di legno (se lavorato a mano); - rasagnolo di legno (se lavorato a mano).";"Laboratorio per pasta fresca; - bancone-frigorifero (a temperatura di 4°C).";"Provincia di Perugia, Comune di Orvieto."
"VENTRESCA";"CARNI (E FRATTAGLIE) FRESCHE E LORO PREPARAZIONE";"Occorre distinguere tra ventresca arrotolata e quella tesa: - la prima è un salume di forma cilindrica, in particolare è il ventre del suino che dopo essere stato lavorato, viene arrotolato e stagionato, ha un peso che varia dai 3 ai 4 kg. Una volta tagliato presenta delle fette formate da cerchi di grasso e di magro; - la ventresca tesa è sempre ventre di suino, ma con la cotenna; dopo la lavorazione non viene arrotolato, ma tagliato in forme rettangolari alte pochi centimetri e stagionato";"Sezionatura: la parte di suino interessata è il ventre; 2. disossatura, la ventresca arrotolata viene anche scotennata; 3. salagione, viene messa sotto sale, pepe, aglio e vino per 5 gg.; 4. lavaggio; 5. asciugata per 5 gg., viene aggiunto il pepe e l'aglio; 6. stagionatura: la ventresca arrotolata, viene, per l'appunto, arrotolata, incartata, legata e appesa per 3 mesi. La ventresca tesa viene stagionata senza essere arrotolata, infatti, come detto prima la cotenna non è stata tolta.";"Coltelli di vario tipo, contenitori per mettere sotto sale, scotennatrice, cella frigorifero.";"Sala di sezionamento,dove il suino viene tagliato nelle varie parti e preparato per l'uso; 2. sala lavorazione: dove si disossa e si sala la carne; 3. sala di asciugamento e/o stagionatura: la prima è a temperatura controllata, la seconda a temperatura naturale.";"Regione Umbria"
"ANGUILLA DEL TRASIMENO (Anguilla anguilla)";"PREPARAZIONI DI PESCI, MOLLUSCHI E CROSTACEI";"Corpo allungato, serpentiforme, rotondeggiante nella parte anteriore e compresso in quella posteriore. Coperto di piccole squame e abbondante muco. Può assumere vari colori, dorsalmente può essere bruno/verdastra, grigio/brunastra o nerastra, sul ventre bianca/giallastra. I maschi hanno delle dimensioni che vanno dai 35 ai 50 cm, le femmine dai 100 ai 150 cm. Carni ottime, pregiate, grasse e saporite.";"Stagione adatta alla pesca: estate, autunno. Tecniche di pesca: tofo, tofone, fila, palamite (attrezzo da pesca formato da un insieme di ami montati ad intervalli regolari su un cavetto chiamato trave, per mezzo di spezzoni di filo chiamati braccioli). Esche: lombrico, gamberetto, latterino, lasca, tinchetta. Si pesca anche con canna da fondo – filo: 0,25/0,35 – ami: m. 6/9 – esche: lombrico, interiora di pollo. La pesca viene effettuata al crepuscolo o di notte. Spesso dopo la pesca viene lavorata in laboratori artigianali annessi ai punti vendita autorizzati ai sensi della L. 283/62, seguendo queste fasi: decapitazione, eviscerazione, spellatura, confezionamento, congelamento in tunnel ventilato, stoccaggio in celle frigo (18°C).";"E’ consuetudine mantenere esemplari vivi in vasche di vetroresina idonee all’uso.";"Locali, materiali ed attrezzature per la manipolazione e conservazione dell’alimento possiedono i requisiti previsti dalle seguenti norme: L. 283/62, DPR 327/80, D. Lgs 155/97. Il congelamento avviene con tunnel ventilato di piccole capacità, limitatamente al pescato proveniente dalle acque del Lago Trasimeno. Questa soluzione tecnologica è l’unica che, al momento, permette di ottenere una riserva di alimento per soddisfare i fabbisogni del mercato locale con turn-over del prodotto di circa due-tre mesi e, comunque, l’unica adatta ai quantitativi medi disponibili.";"Lago Trasimeno"
"ATTORTA";"PASTE FRESCHE E PRODOTTI DELLA PANETTERIA, BISCOTTERIA, PASTICCERIA, CONFETTERIA";"Dolce composto da una pasta sfoglia ripiena di mele e altri ingredienti, arrotolata su se stessa a forma di spirale.";"Ingredienti: mele tagliate a cubetti, zucchero, cacao amaro e/o cioccolato fondente grattugiato, scorza di limone grattugiata, noci tritate, rhum e/o alchermes, olio d’oliva. Varianti: agli ingredienti sopra riportati si aggiungono pinoli e/o amaretti tritati e/o canditi e/o fichi secchi, “mustaccioli”, confettini colorati per la decorazione. Lavorazione: si prepara la sfoglia lavorando insieme, in un contenitore di acciaio o materiale plastico per alimenti, farina, olio, uova, zucchero e rhum in modo da ottenere un impasto morbido e omogeneo, che verrà poi steso in modo da ottenere una sfoglia allungata. Il ripieno viene preparato cuocendo le mele con i restanti ingredienti. Il composto viene distribuito uniformemente sulla sfoglia che verrà arrotolata nel senso della lunghezza. La attorta viene posta in una teglia da forno unta e cotta in forno fino a quando la sfoglia risulterà di un colore dorato. L’attorta può essere decorata con gocce di alchermes, zucchero o confettini colorati. Conservazione: il prodotto fresco va conservato ad una temperatura di circa 6°/8° C per 2 o 3 giorni.";"Contenitori in acciaio o materiale plastico per alimenti; - Mestoli in acciaio; - teglie da forno; - forno.";"Laboratorio di pasticceria; - negozio di vendita con bancone espositore";"Comune di Spoleto"
"BRINGOLI";"PASTE FRESCHE E PRODOTTI DELLA PANETTERIA, BISCOTTERIA, PASTICCERIA, CONFETTERIA";"Grossi spaghetti fatti a mano con farina e acqua";"Ingredienti: farina di grano tenero, acqua. Lavorazione: gli ingredienti vengono lavorati a mano (o con impastatrice); una volta ottenuto un impasto omogeneo si può procedere in due modi: a) viene tirata la sfoglia con il rasagnolo di legno su spianatoia di legno, dello spessore di circa 5/8 mm.; si tagliano in orizzontale delle strisce di pasta (larghe circa 10 cm.), a loro volta tagliate in piccole strisce (larghe circa 1 cm.), le quali vengono lavorate (arrotolate) a mano sulla spianatoia fino a formare dei grossi spaghetti lunghi circa 20/30 cm.; b) si strappano dall’impasto dei pezzetti di pasta e si lavorano a mano rotolandoli sulla spianatoia fino a formare dei grossi spaghetti lunghi circa 20/30 cm.. Conservazione: essendo un prodotto fresco, va conservato per 1/2 giorni al massimo, a temperatura di circa 4°C, su vassoi per alimenti.";"Impastatrice (se lavorato a macchina); - spianatoia di legno; - rasagnolo di legno.";"Laboratorio per pasta fresca; - bancone-frigorifero (a temperatura di 4°C).";"Comune di Lisciano Niccone (bringoli, brigonzoli), comune di Ficulle (TR) (biche)."
